Producto,"Precio Contado","Precio Lista",Marca,Categoria,Proveedor
"Dell Monitor S2722QC 27" 4K",549999.00,577498.9500,Dell,Monitores,"Proveedor Uno S.A."
"Bose SoundLink Flex",349999.00,367498.9500,Bose,Parlantes,"Proveedor Uno S.A."
"Samsung Galaxy S24 256GB",1499999.00,1574998.9500,Samsung,Smartphones,"Distribuidora Norte SRL"
"iPad Air 11" M2 64GB WiFi",1299999.00,1364998.9500,Apple,Tablets,"Distribuidora Norte SRL"
"iPhone 15 128GB Negro",1699999.00,1784998.9500,Apple,Smartphones,"Distribuidora Norte SRL"
"Xiaomi Mi Band 8",89999.00,94498.9500,Xiaomi,Wearables,"Importadora Sur S.A."
"Dell Monitor S2722QC 27" 4K",549999.00,577498.9500,Dell,Monitores,"Importadora Sur S.A."
"Philips Hue Starter Kit",299999.00,314998.9500,Philips,"Cargadores y Cables","Importadora Sur S.A."
"iPhone 15 Pro 256GB Titanio",2299999.00,2414998.9500,Apple,Smartphones,"Importadora Sur S.A."
"Dell XPS 15 i7 32GB 1TB",3299999.00,3464998.9500,Dell,Notebooks,"Importadora Sur S.A."
"HP LaserJet Pro M404dn",599999.00,629998.9500,HP,Impresoras,"Comercial Este SRL"
"MacBook Pro M3 16GB 512GB",3899999.00,4094998.9500,Apple,Notebooks,"Comercial Este SRL"
"Xiaomi Mi Band 8",89999.00,94498.9500,Xiaomi,Wearables,"Comercial Este SRL"
"iPad Air 11" M2 64GB WiFi",1299999.00,1364998.9500,Apple,Tablets,"Comercial Este SRL"
"Motorola Edge 40 256GB",699999.00,734998.9500,Motorola,Smartphones,"Comercial Este SRL"
"Philips Hue Starter Kit",299999.00,314998.9500,Philips,"Cargadores y Cables","Proveedor Oeste S.A."
"LG OLED 55" C3 4K",2199999.00,2309998.9500,LG,Televisores,"Proveedor Oeste S.A."
"Samsung Galaxy S24 256GB",1499999.00,1574998.9500,Samsung,Smartphones,"Proveedor Oeste S.A."
"HP LaserJet Pro M404dn",599999.00,629998.9500,HP,Impresoras,"Proveedor Oeste S.A."
"Motorola Edge 40 256GB",699999.00,734998.9500,Motorola,Smartphones,"Proveedor Oeste S.A."
"LG OLED 55" C3 4K",2199999.00,2309998.9500,LG,Televisores,"Servicios Integrales SRL"
"Apple Watch Series 9 45mm",899999.00,944998.9500,Apple,Smartwatches,"Servicios Integrales SRL"
"HP Victus 15 Ryzen 5 16GB 512GB",1199999.00,1259998.9500,HP,Notebooks,"Servicios Integrales SRL"
"Sony Bravia XR 65" OLED 4K",2799999.00,2939998.9500,Sony,Televisores,"Servicios Integrales SRL"
"Samsung Smart TV 55" QLED 4K",1199999.00,1259998.9500,Samsung,Televisores,"Servicios Integrales SRL"
"Lenovo IdeaPad 5 i5 8GB 512GB",899999.00,944998.9500,Lenovo,Notebooks,"Tecnología Avanzada S.A."
"Sony WH-1000XM5",699999.00,734998.9500,Sony,Auriculares,"Tecnología Avanzada S.A."
"Philips Hue Starter Kit",299999.00,314998.9500,Philips,"Cargadores y Cables","Logística Express SRL"
"HP Victus 15 Ryzen 5 16GB 512GB",1199999.00,1259998.9500,HP,Notebooks,"Logística Express SRL"
"Lenovo Tab P12 256GB",749999.00,787498.9500,Lenovo,Tablets,"Logística Express SRL"
"Sony WH-1000XM5",699999.00,734998.9500,Sony,Auriculares,"Logística Express SRL"
"Dell XPS 15 i7 32GB 1TB",3299999.00,3464998.9500,Dell,Notebooks,"Logística Express SRL"
"AirPods Pro 2da Generación",649999.00,682498.9500,Apple,Auriculares,"Logística Express SRL"
"Sony Bravia XR 65" OLED 4K",2799999.00,2939998.9500,Sony,Televisores,"Soluciones Globales S.A."
"MacBook Pro M3 16GB 512GB",3899999.00,4094998.9500,Apple,Notebooks,"Distribuciones Unidas SRL"
"HP LaserJet Pro M404dn",599999.00,629998.9500,HP,Impresoras,"Distribuciones Unidas SRL"
"Motorola Edge 40 256GB",699999.00,734998.9500,Motorola,Smartphones,"Distribuciones Unidas SRL"
"Samsung Smart TV 55" QLED 4K",1199999.00,1259998.9500,Samsung,Televisores,"Distribuciones Unidas SRL"
"Lenovo IdeaPad 5 i5 8GB 512GB",899999.00,944998.9500,Lenovo,Notebooks,"Distribuciones Unidas SRL"
"HP Victus 15 Ryzen 5 16GB 512GB",1199999.00,1259998.9500,HP,Notebooks,"Distribuciones Unidas SRL"
"Xiaomi Mi Band 8",89999.00,94498.9500,Xiaomi,Wearables,"Proveedor Central S.A."
"Lenovo IdeaPad 5 i5 8GB 512GB",899999.00,944998.9500,Lenovo,Notebooks,"Proveedor Central S.A."
"Xiaomi Redmi Note 13 128GB",429999.00,451498.9500,Xiaomi,Smartphones,"Comercializadora Delta SRL"
"Samsung Galaxy Tab S9 128GB",999999.00,1049998.9500,Samsung,Tablets,"Comercializadora Delta SRL"
"Xiaomi Mi Band 8",89999.00,94498.9500,Xiaomi,Wearables,"Comercializadora Delta SRL"
"Sony WH-1000XM5",699999.00,734998.9500,Sony,Auriculares,"Comercializadora Delta SRL"
"LG OLED 55" C3 4K",2199999.00,2309998.9500,LG,Televisores,"Comercializadora Delta SRL"
"AirPods Pro 2da Generación",649999.00,682498.9500,Apple,Auriculares,"Insumos Industriales SRL"
"Asus ROG Zephyrus G14 RTX 4060",2899999.00,3044998.9500,Asus,Notebooks,"Insumos Industriales SRL"
"iPhone 15 Pro 256GB Titanio",2299999.00,2414998.9500,Apple,Smartphones,"Insumos Industriales SRL"
"Sony WF-1000XM5",499999.00,524998.9500,Sony,Auriculares,"Mayorista Andina SRL"
"iPad Air 11" M2 64GB WiFi",1299999.00,1364998.9500,Apple,Tablets,"Mayorista Andina SRL"
"LG Monitor 27" UltraFine 4K",749999.00,787498.9500,LG,Monitores,"Mayorista Andina SRL"
"LG Monitor 27" UltraFine 4K",749999.00,787498.9500,LG,Monitores,"Proveedor Patagónico S.A."
"Bose SoundLink Flex",349999.00,367498.9500,Bose,Parlantes,"Proveedor Patagónico S.A."
"AirPods Pro 2da Generación",649999.00,682498.9500,Apple,Auriculares,"Proveedor Patagónico S.A."
"Dell Monitor S2722QC 27" 4K",549999.00,577498.9500,Dell,Monitores,"Proveedor Patagónico S.A."
"Asus ROG Zephyrus G14 RTX 4060",2899999.00,3044998.9500,Asus,Notebooks,"Proveedor Patagónico S.A."
"JBL Flip 6",189999.00,199498.9500,JBL,Parlantes,"Proveedor Patagónico S.A."
"Motorola Edge 40 256GB",699999.00,734998.9500,Motorola,Smartphones,"Proveedor Patagónico S.A."
